,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO
651,208.61,208.61,775.6,208.61
652,0.0,59.77,801.28,119.54
653,200.3,200.3,1999.81,400.6
654,266.04,266.04,52200.0,9577.26
655,3900.52,3900.52,12500.0,3900.52
656,79.79,79.79,1288.0,159.57
657,83.72,83.72,1141.6,167.44
658,80.09,80.09,605.4,80.09
659,253.0,253.0,425.0,253.0
660,55.83,55.83,563.5,55.83
661,253.0,253.0,424.0,253.0
662,0.0,332.9,9900.0,3994.81
663,200.3,200.3,999.91,200.3
664,7.6,7.6,739.66,7.6
665,206.22,206.22,9364.5,2062.24
666,378.12,378.12,38979.6,11343.64
667,602.39,602.39,3668.0,602.39
668,68.34,68.34,1625.06,136.67
669,135.69,135.69,1940.0,542.76
670,54.8,54.8,1500.0,219.2
671,432.0,432.0,1206.0,1728.0
672,0.0,199335.56,32582.18,199335.56
673,0.0,47.7,1128.2,95.4
674,717.66,717.66,4436.0,1435.32
675,200.3,200.3,999.91,200.3
676,42.79,42.79,94.5,42.79
677,562.77,562.77,1697.71,562.77
678,0.0,483.67,4050.4,967.34
679,174.94,174.94,3196.4,699.77
680,321.87,321.87,1926.0,965.61
681,89.98,89.98,9270.0,539.86
682,0.0,752.71,3026.6,752.71
683,0.0,111.07,2437.59,333.2
684,253.0,253.0,385.0,253.0
685,7.2,7.2,1310.0,14.4
686,43.24,43.24,5045.0,432.37
687,0.0,120.27,7159.2,1443.18
688,135.69,135.69,510.0,135.69
689,355.29,355.29,29506.0,7105.79
690,1465.29,1465.29,7460.0,2930.59
691,92.33,92.33,245.0,92.33
692,227.74,227.74,1410.0,227.74
693,65.63,65.63,1657.94,131.25
694,654.97,654.97,2098.6,1309.94
695,23.77,23.77,1263.68,47.53
696,67.69,67.69,1600.38,135.37
697,62.82,62.82,905.0,314.09
698,77.57,77.57,1125.0,387.87
699,668.43,668.43,1572.45,668.43
700,0.0,835.04,6400.0,3340.17
701,0.0,381.64,6438.0,2289.82
702,0.0,257.09,5976.0,1542.56
703,0.0,197.63,1115.0,395.26
704,48.49,48.49,192.0,48.49
705,54.8,54.8,620.0,109.6
706,0.0,86.18,1506.08,172.35
707,0.0,629.46,9300.0,3776.75
708,0.0,595.77,9000.0,3574.62
709,48.03,48.03,564.1,48.03
710,205.2,205.2,521.04,205.2
711,135.69,135.69,1940.0,542.76
712,54.8,54.8,1240.0,219.2
713,77.57,77.57,465.0,232.72
714,0.0,77.8,2158.4,311.18
715,0.0,246.69,2760.0,493.38
716,92.24,92.24,4962.0,1383.54
717,42.65,42.65,690.0,85.29
718,155.39,155.39,1989.28,310.77
719,80.09,80.09,1210.8,160.18
720,177.85,177.85,735.65,177.85
721,331.33,331.33,1217.5,662.65
722,0.0,117.09,8100.0,1170.9
723,0.0,798.08,3153.92,3192.33
724,0.0,670.74,2818.4,670.74
725,111.07,111.07,812.43,111.07
726,236.06,236.06,6180.0,1416.34
727,32.24,32.24,1831.28,128.97
728,87.04,87.04,2940.0,174.08
729,1072.93,1072.93,4372.0,2145.86
730,144.19,144.19,3750.0,1441.92
731,0.0,122.35,1125.0,367.04
732,0.0,236.03,7962.5,2360.31
733,0.0,237.87,8505.0,2378.73
734,76.68,76.68,1270.0,153.36
735,227.18,227.18,702.59,227.18
736,521.59,521.59,1265.0,521.59
737,174.16,174.16,1350.0,348.32
738,91.63,91.63,1392.0,183.26
739,0.0,61.88,4397.58,556.96
740,0.0,171.66,4260.0,1029.98
741,0.0,1273.61,10047.0,3820.84
742,0.0,1304.15,5330.0,2608.29
743,97.49,97.49,435.72,97.49
744,97.53,97.53,648.3,97.53
745,10.7,10.7,419.0,10.7
746,18.14,18.14,36950.0,1813.59
747,0.0,514.77,22504.4,2573.85
748,0.0,114.05,2502.8,456.18
749,100.68,100.68,3128.5,503.4
750,0.0,98.64,3754.2,591.85
751,0.0,546.03,3036.0,1092.06
752,0.0,1220.15,2776.65,1220.15
753,473.55,473.55,2008.0,473.55
754,0.0,152.07,3522.0,912.43
755,0.0,230.29,3122.0,921.15
756,0.0,345.97,1165.95,345.97
757,0.0,322.13,1112.0,322.13
758,0.0,192.93,5016.8,771.72
759,54.8,54.8,310.0,54.8
760,141.3,141.3,1455.0,423.89
761,0.0,185.81,2764.11,557.42
762,123.23,123.23,518.97,123.23
763,773.12,773.12,21372.75,5411.87
764,665.36,665.36,1054.0,665.36
765,276.18,276.18,1047.7,552.36
766,925.21,925.21,4372.0,1850.42
767,136.58,136.58,727.58,136.58
768,0.0,82.32,343.0,82.32
769,405.35,405.35,2928.0,1216.06
770,260.2,260.2,732.0,260.2
771,345.97,345.97,1165.95,345.97
772,0.0,27.79,809.3,55.57
773,65.25,65.25,1297.0,130.51
774,64.34,64.34,1297.0,128.69
775,64.34,64.34,1386.7,128.69
776,210.24,210.24,576.03,210.24
777,265.64,265.64,657.12,265.64
778,205.2,205.2,499.7,205.2
779,0.0,76.36,659.6,76.36
780,15.03,15.03,1230.0,150.32
781,133.05,133.05,7100.0,2660.93
782,133.05,133.05,5325.0,1995.7
783,1357.1,1357.1,2068.5,1357.1
784,1130.54,1130.54,4928.4,2261.08
785,295.59,295.59,5880.0,1773.52
786,0.0,185.06,1074.04,185.06
787,42.63,42.63,3155.52,170.5
788,0.0,297.42,727.31,297.42
789,54.8,54.8,624.27,54.8
790,206.11,206.11,572.0,206.11
791,0.0,363.09,4872.0,2178.55
792,0.0,671.28,1548.0,671.28
793,0.0,66.99,1320.0,133.98
794,172.53,172.53,2372.34,345.06
795,0.0,202.71,2025.0,608.14
796,161.73,161.73,4692.65,808.65
797,0.0,675.99,13329.44,5407.95
798,345.97,345.97,1165.95,345.97
799,0.0,131.45,32783.62,7098.51
800,0.0,137.76,16510.82,3719.48
801,0.0,203.69,2260.25,611.06
802,0.0,126.45,1606.44,379.36
803,144.4,144.4,1717.5,433.2
804,0.0,323.11,794.0,323.11
805,165.65,165.65,941.0,165.65
806,110.15,110.15,2545.2,440.58
807,171.87,171.87,400.0,171.87
808,0.0,2549.57,14266.34,5099.14
809,156.34,156.34,2394.0,469.01
810,42.79,42.79,139.0,42.79
811,150.16,150.16,2360.1,450.49
812,0.0,255.13,8420.0,1020.51
813,0.0,216.25,3260.0,1081.24
814,0.0,195.43,3874.0,781.73
815,1389.6,1389.6,4436.54,2779.2
816,257.6,257.6,8100.0,2575.95
817,0.0,384.87,17077.5,4233.54
818,54.8,54.8,348.0,54.8
819,1195.0,1195.0,3120.0,1195.0
820,97.49,97.49,315.0,97.49
821,171.87,171.87,871.44,343.73
822,0.0,316.45,1127.0,316.45
823,1306.63,1306.63,4956.73,1306.63
824,155.25,155.25,1628.0,620.99
825,0.0,132.16,2165.0,528.65
826,0.0,203.04,5460.0,812.15
827,122.18,122.18,2727.0,488.72
828,0.0,649.31,3200.0,649.31
829,0.0,590.21,6400.0,1180.41
830,0.0,595.74,3200.0,595.74
831,585.92,585.92,3521.6,585.92
832,429.81,429.81,38979.6,12894.24
833,788.54,788.54,12750.0,2365.62
834,244.91,244.91,846.2,244.91
835,0.0,270.68,2101.38,541.35
836,0.0,230.7,4265.1,461.4
837,790.28,790.28,14600.0,3161.13
838,753.71,753.71,13000.0,3014.83
839,703.11,703.11,12750.0,3515.54
840,0.0,67.57,310.0,135.14
841,0.0,264.47,19243.56,5553.86
842,5169.85,5169.85,25258.15,5169.85
843,0.0,324.71,3845.8,1298.83
844,89.76,89.76,485.2,89.76
845,72.34,72.34,570.3,72.34
846,0.0,89.76,485.2,89.76
847,0.0,72.34,570.3,72.34
848,0.0,236.2,4116.0,1417.21
849,220.0,220.0,924.0,440.0
